"Player","ID","season","cut","misc","postup","prman","putback","transition","handoff","offscreen","prhandler","spotup","isolation"
"TimHardaway Jr.","203501",2016,NA,12,NA,NA,NA,83,23,37,26,110,NA
"TonySnell","203503",2016,16,23,NA,NA,11,68,40,12,69,136,29
"TreyBurke","203504",2016,NA,30,NA,NA,NA,91,100,25,259,180,51
"VictorOladipo","203506",2016,57,58,NA,NA,23,219,106,57,398,215,89
"GiannisAntetokounmpo","203507",2016,153,91,114,35,84,286,35,15,140,231,217
"PhilPressey","203515",2016,NA,NA,NA,NA,NA,38,NA,NA,46,13,NA
"JamesEnnis III","203516",2016,NA,NA,NA,NA,13,25,NA,10,17,40,NA
"MatthewDellavedova","203521",2016,11,40,NA,NA,NA,58,39,13,302,150,22
"SolomonHill","203524",2016,27,18,NA,13,18,55,NA,13,13,75,17
"RaulNeto","203526",2016,12,29,NA,NA,NA,78,57,NA,155,185,31
"RyanKelly","203527",2016,10,13,18,21,15,27,NA,NA,NA,61,13
"JoffreyLauvergne","203530",2016,61,34,66,115,45,38,NA,NA,NA,89,14
"SethCurry","203552",2016,NA,13,NA,NA,NA,49,13,31,78,76,13
"TroyDaniels","203584",2016,NA,11,NA,NA,NA,21,22,52,18,80,NA
"JonathonSimmons","203613",2016,26,21,NA,NA,NA,64,21,16,52,93,27
"JamalCrawford","2037",2016,NA,48,NA,NA,11,138,102,39,345,210,261
"PJHairston","203798",2016,NA,NA,NA,NA,12,85,19,37,52,214,NA
"ShabazzNapier","203894",2016,NA,NA,NA,NA,NA,39,13,NA,107,68,19
"JordanMcRae","203895",2016,NA,NA,NA,NA,NA,12,NA,NA,10,NA,NA
"ZachLaVine","203897",2016,23,64,NA,NA,17,257,128,87,347,168,98
"TylerEnnis","203898",2016,NA,18,NA,NA,NA,37,12,NA,99,49,17
"MarkelBrown","203900",2016,19,27,NA,NA,14,72,16,37,99,121,13
"ElfridPayton","203901",2016,53,73,NA,NA,40,151,56,19,342,177,70
"JordanClarkson","203903",2016,71,52,10,NA,43,204,78,76,476,180,132
"GaryHarris","203914",2016,89,32,NA,NA,18,195,134,70,95,242,36
"SpencerDinwiddie","203915",2016,NA,NA,NA,NA,NA,10,NA,NA,35,NA,14
"NikStauskas","203917",2016,16,23,NA,NA,11,123,64,48,107,268,29
"RodneyHood","203918",2016,24,47,29,NA,19,92,131,48,347,338,103
